#filename,assembly_ID,order,order_details,family,family_details,genus_species,number_of_specimen,stage,sample_location,sample_date,bloodfeeding
121010_I249_FCD1C4BACXX_L3_INSeqtTBDRAAPEI-84.free.fas,INSeqtTBDRAAPEI-84,Collembola,NA,Dicyrtomidae,NA,Dicyrtoma_fusca,ca_100,not_determined,Germany_Saxony_Neissauen_S_of_Goerlitz,17-May-2012,no
121010_I249_FCD1C4BACXX_L3_INSeqtTBHRAAPEI-90.free.fas,INSeqtTBHRAAPEI-90,Plecoptera,NA,Taeniopterygidae,Brachypterainae,Brachyptera_vera,ca_6,nymph,Spain_Sierra_Morena_Ja_n_R_o_Despe_aperros,10-Jan-2008,no
121010_I249_FCD1C4BACXX_L3_INSeqtTBJRAAPEI-94.free.fas,INSeqtTBJRAAPEI-94,Coleoptera,NA,Ripiphoridae,NA,Macrosiagon_limbatum,1,adult,USA_Tennessee_Shelby_County_Germantown,Aug-2012,no
121010_I249_FCD1C4BACXX_L3_INSeqtTBKRAAPEI-95.free.fas,INSeqtTBKRAAPEI-95,Diptera,nematocerans,Deuterophlebiidae,NA,Deuterophlebia_coloradensis,ca_15,juvenile,USA_Oregon_Benton_County_Alsea_River,22-May-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAARAAPEI-43.free.fas,INSeqtTAARAAPEI-43,Diplura,NA,Campodeidae,NA,Campodea_silvestrii,47,adult,Germany_North_Rhine-Westphalia_Bonn_Friesdorf_Klufterbachtal_in_private_garden,05-Jul-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTADRAAPEI-46.free.fas,INSeqtTADRAAPEI-46,Odonata,Zygoptera,Coenagrionidae,NA,Agriocnemis_femina_oryzae,3,adult,Japan_Kochi_Shimanto,07-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAGRAAPEI-57.free.fas,INSeqtTAGRAAPEI-57,Hymenoptera,NA,Diprionidae,NA,Diprion_pini,2,adult,Austria_Lower_Austria_Dross,14-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAHRAAPEI-88.free.fas,INSeqtTAHRAAPEI-88,Hymenoptera,NA,Chalcididae,NA,Brachymeria_minuta,4,adult,Germany_Hesse_Osthofen,28-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAIRAAPEI-89.free.fas,INSeqtTAIRAAPEI-89,Neuroptera,NA,Hemerobiidae,NA,Megalomus_tortricoides,4,NA,Austria_Lower_Austria_Krems-Land_Duernstein,19-May-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAJRAAPEI-90.free.fas,INSeqtTAJRAAPEI-90,Neuroptera,NA,Myrmeleontidae,NA,Distoleon_tetragrammicus,2,adult,Austria_Lower_Austria_Krems-Land_Duernstein,06-Jul-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAKRAAPEI-93.free.fas,INSeqtTAKRAAPEI-93,Diplura,NA,Campodeidae,NA,Remycampa_launeyi,22,adult,Spain_Canary_Islands_Tenerife,14-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAMRAAPEI-95.free.fas,INSeqtTAMRAAPEI-95,Odonata,Anisoptera,Aeshnidae,NA,Aeschnophlebia_longistigma,1,adult,Japan_Kochi_Takaoka_Hidaka,23-May-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTANRAAPEI-8.free.fas,INSeqtTANRAAPEI-8,Odonata,Zygoptera,Coenagrionidae,NA,Ceriagrion_nipponicum,2,adult,Japan_Tokyo,10-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAORAAPEI-9.free.fas,INSeqtTAORAAPEI-9,Blattodea,NA,Ectobiidae,Pseudophyllodromiinae,Sundablatta_sexpunctata,4,adult,Malaysia_Ulu_Gombak_Selangor,10-Apr-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAPRAAPEI-11.free.fas,INSeqtTAPRAAPEI-11,Plecoptera,NA,Chloroperlidae,NA,Sweltsa_sp,4,adult,Japan_Nagano_Ueda_Sanada_Kakuma,16-May-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTAQRAAPEI-12.free.fas,INSeqtTAQRAAPEI-12,Hymenoptera,NA,Crabronidae,NA,Astata_minor,2,adult,Germany_Rhineland-Palatinate_Osthofen,28-Jun-2012,no
121010_I249_FCD1C4BACXX_L6_INSeqtTARRAAPEI-13.free.fas,INSeqtTARRAAPEI-13,Hymenoptera,NA,Scelionidae,NA,Trissolcus_semistriatus,ca-_50_60,adult,Lab_culture_of_unknown_geographical_origin,2012,no
121010_I249_FCD1C4BACXX_L6_INShkeTCIRAAPEI-39.free.fas,INShkeTCIRAAPEI-39,Coleoptera,NA,Cantharidae,NA,Rhagonycha_fulva,3,adult,Germany_Thuringia_Sahle-Holzland_District_Rothenstein_Oelknitz,11-Jul-2011,no
121010_I249_FCD1C4BACXX_L6_INShkeTCRRAAPEI-62.free.fas,INShkeTCRRAAPEI-62,Phasmatodea,NA,Phasmatidae,Clitumninae,Tirachoidea_westwoodii,1,adult,Germany_lab_culture,15-Sep-2011,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAERAAPEI-39.free.fas,INSeqtTAERAAPEI-39,Odonata,Zygoptera,Megapodagrionidae,NA,Rhipidolestes_hiraoi,2,adult,Japan_Kochi_Hata_Kuroshio,14-Jun-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAFRAAPEI-41.free.fas,INSeqtTAFRAAPEI-41,Plecoptera,NA,Perlidae,NA,Acroneuria_stigmatica,1,nymph,Japan_Nagana_Ueda_Sanada_Kakuma,16-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTALRAAPEI-94.free.fas,INSeqtTALRAAPEI-94,Myriapoda,Chilopoda_Geophilomorpha,Geophilidae,NA,Clinopodes_flavidus,3,adult,Austria_Vienna_XXII_Donaustadt_Lobau,02-May-2013,no
121010_I249_FCD1C4BACXX_L7_INSeqtTASRAAPEI-43.free.fas,INSeqtTASRAAPEI-43,Neuroptera,NA,Chrysopidae,NA,Chrysopa_perla,4,adult,Austria_Lower_Austria_Krems-Land_Duernstein,19-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTATRAAPEI-44.free.fas,INSeqtTATRAAPEI-44,Raphidioptera,NA,Raphidiidae,NA,Turcoraphidia_amara,3,adult,Montenegro_Cetinje_Opstina_Lovcen,17-Jun-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAURAAPEI-45.free.fas,INSeqtTAURAAPEI-45,Diplura,NA,Campodeidae,NA,Metriocampa_sp,69,not_determined,Japan_Nagano_Nagano-city_Wakaho_Hoshina,28-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAWRAAPEI-47.free.fas,INSeqtTAWRAAPEI-47,Odonata,Anisoptera,Aeshnidae,NA,Sarasaeschna_pryeri,1,adult,Japan_Kochi_Shimanto,22-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAXRAAPEI-56.free.fas,INSeqtTAXRAAPEI-56,Odonata,Zygoptera,Lestidae,NA,Sympecma_paedisca,2,adult,Japan_Nagano_Chiisagata_Aoki,16-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTAYRAAPEI-57.free.fas,INSeqtTAYRAAPEI-57,Dermaptera,NA,Hemimeridae,NA,Hemimerus_sp,1,adult,Nigeria_Ilorin_Kwara_state,03-Dec-2011,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBARAAPEI-74.free.fas,INSeqtTBARAAPEI-74,Hymenoptera,NA,Chrysididae,Chrysidinae,Spintharina_versicolor,6,adult,Italy_Valle_d_Aosta_Pondel,19-Jun-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBBRAAPEI-75.free.fas,INSeqtTBBRAAPEI-75,Hymenoptera,NA,Diapriidae,NA,Trichopria_drosophilae,ca_80,adult,Lab_culture_with_samples_originating_from_France_60_km_south_of_Lyon_Sablons_Is_re_district,2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBERAAPEI-87.free.fas,INSeqtTBERAAPEI-87,Odonata,Zygoptera,Euphaeidae,NA,Epallage_fatime,2,adult,Israel_Northern_District,28-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBFRAAPEI-88.free.fas,INSeqtTBFRAAPEI-88,Odonata,Anisoptera,Gomphidae,NA,Nihonogomphus_viridis,1,adult,Japan_Kochi_Shimanto,23-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBGRAAPEI-89.free.fas,INSeqtTBGRAAPEI-89,Odonata,Zygoptera,Calopterygidae,NA,Mnais_pruinosa,1,adult,Japan_Nagano_Chiisagata_Aoki,16-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBIRAAPEI-93.free.fas,INSeqtTBIRAAPEI-93,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_succinta_succintula,7,adult,Italy_Valle_d_Aosta_Ozein,21-Jun-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBLRAAPEI-8.free.fas,INSeqtTBLRAAPEI-8,Collembola,NA,Sminthuridae,NA,Allacma_fusca,ca_50,not_determined,Germany_Saxony_Sohland_Rotstein,15-May-2012,no
121010_I249_FCD1C4BACXX_L7_INSeqtTBMRAAPEI-9.free.fas,INSeqtTBMRAAPEI-9,Odonata,Zygoptera,Euphaeidae,NA,Euphaea_yayeyamana,1,adult,Japan_Okinawa_Yaeyama_Taketomi,16-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBCRACPEI-79.free.fas,INSeqtTBCRACPEI-79,Neuroptera,NA,Chrysopidae,NA,Chrysopa_dorsalis,3,adult,Austria_Lower_Austria_Krems-Land_Duernstein,06-Jul-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBORAAPEI-75.free.fas,INSeqtTBORAAPEI-75,Odonata,Anisoptera,Gomphidae,NA,Davidius_fujiama,1,adult,Japan_Nagano_Chiisagata_Aoki,16-May-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBQRAAPEI-84.free.fas,INSeqtTBQRAAPEI-84,Phasmatodea,NA,Phasmatidae,NA,Medauroidea_extradentata,1,NA,Germany_Lab_culture_with_samples_originating_from_Germany_private_breeder,16-Oct-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBRRAAPEI-87.free.fas,INSeqtTBRRAAPEI-87,Hymenoptera,NA,Chrysididae,Chrysidinae,Spinolia_lamprosoma,1,adult,Italy_Valle_d_Aosta_Pondel,21-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBSRAAPEI-88.free.fas,INSeqtTBSRAAPEI-88,Neuroptera,NA,Dilaridae,NA,Dilar_turcicus,2,adult,Bulgaria_Blagoevgrad_Province_Kresna_Gorge_valley,Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBTRAAPEI-89.free.fas,INSeqtTBTRAAPEI-89,Raphidioptera,NA,Raphidiidae,NA,Venustoraphidia_nigricollis,3,adult,Austria_Lower_Austria_Wien-Umgebung_Klosterneuburg,29-May-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBURAAPEI-90.free.fas,INSeqtTBURAAPEI-90,Archaeognatha,NA,Machilidae,NA,Pedetontus_unimaculatus,2,adult,Japan_Shizuoka_Shimoda_Nabeta,22-May-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBVRAAPEI-93.free.fas,INSeqtTBVRAAPEI-93,Odonata,Anisoptera,Libellulidae,NA,Zyxomma_petiolatum,1,adult,Japan_Okinawa_Yaeyama_Taketomi,16-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBWRAAPEI-94.free.fas,INSeqtTBWRAAPEI-94,Odonata,Anisoptera,Petaluridae,NA,Tanypteryx_pryeri,1,adult,Japan_Ibaraki_Hitachiomiya,29-May-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTBXRAAPEI-95.free.fas,INSeqtTBXRAAPEI-95,Odonata,Zygoptera,Coenagrionidae,NA,Aciagrion_migratum,3,adult,Japan_Yamanashi_Kitakoma_Hokuto,10-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCARAAPEI-11.free.fas,INSeqtTCARAAPEI-11,Raphidioptera,NA,Raphidiidae,NA,Xanthostigma_gobicola,2,adult,China_Yanqing_County_Beijing_Songshan_National_Nature_Reserve_Sandianquan,27-Jun-2013,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCCRAAPEI-13.free.fas,INSeqtTCCRAAPEI-13,Psocodea,Psocomorpha,Amphipsocidae,NA,Amphipsocus_japonicus,10,adult,Japan_Hyogo_Kobe,25-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCDRAAPEI-14.free.fas,INSeqtTCDRAAPEI-14,Psocodea,Psocomorpha,Dasydemellidae,NA,Matsumuraiella_radiopicta,20,adult,Japan_Hokkaido_Sapporo,21-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCERAAPEI-15.free.fas,INSeqtTCERAAPEI-15,Psocodea,Psocomorpha,Stenopsocidae,NA,Graphopsocus_cruciatus,25,adult,Japan_Hokkaido_Sapporo,21-Jun-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCFRAAPEI-16.free.fas,INSeqtTCFRAAPEI-16,Psocodea,Psocomorpha,Hemipsocidae,NA,Hemipsocus_chroloticus,ca_30,adult,Japan_Kanagawa_Yokohama,10-Jul-2012,no
121010_I249_FCD1C4BACXX_L8_INSeqtTCTRAAPEI-39.free.fas,INSeqtTCTRAAPEI-39,Raphidioptera,NA,Raphidiidae,NA,Phaeostigma_divina_divina,2,juvenile,Austria_Lab_culturewith_samples_originating_from_Greece_Parnassos,20-May-2012,no
121014_I189_FCC173YACXX_L1_INShkeTCKRAAPEI-43.free.fas,INShkeTCKRAAPEI-43,Coleoptera,NA,Lucanidae,NA,Sinodendron_cylindricum,1,adult,Germany_Thuringia_Jena_Tautenburger_Forest,24-Jul-2011,no
121014_I189_FCC173YACXX_L1_INShkeTCLRAAPEI-44.free.fas,INShkeTCLRAAPEI-44,Blattodea,NA,Blattidae,NA,Deropeltis_erythrocephala,1,adult,Germany_Lab_culture_with_samples_originating_from_Germany_private_breeder,13-Mar-2011,no
121014_I189_FCC173YACXX_L1_INShkeTCPRAAPEI-56.free.fas,INShkeTCPRAAPEI-56,Orthoptera,Caelifera,Romaleidae,NA,Tropidacris_collaris,1,adult,Germany_lab_culture,15-Sep-2011,no
121014_I189_FCC173YACXX_L1_INShkeTCQRAAPEI-57.free.fas,INShkeTCQRAAPEI-57,Coleoptera,NA,Elateridae,NA,Melanotus_villosus,3,adult,Germany_Thuringia_Jena_Jena_Forest,26-Jul-2011,no
121014_I189_FCC173YACXX_L1_INShkeTCTRAAPEI-89.free.fas,INShkeTCTRAAPEI-89,Megaloptera,NA,Sialidae,NA,Sialis_lutaria,4,adult,Austria_Lower_Austria_Wien-Umgebung_Mauerbach,01-May-2012,no
121014_I189_FCC173YACXX_L2_INShkeTCGRAAPEI-87.free.fas,INShkeTCGRAAPEI-87,Coleoptera,NA,Lampyridae,NA,Lamprohiza_splendidula,12,adult,Germany_Thuringia_Bucha,28-Jun-2011,no
121014_I189_FCC173YACXX_L2_INShkeTCHRAAPEI-88.free.fas,INShkeTCHRAAPEI-88,Raphidioptera,NA,Raphidiidae,NA,Subilla_confinis,2,adult,Austria_Lower_Austria_Wien-Umgebung_Klosterneuburg,05-May-2012,no
121014_I189_FCC173YACXX_L2_INShkeTCMRAAPEI-45.free.fas,INShkeTCMRAAPEI-45,Coleoptera,NA,Staphylinidae,NA,Ocypus_brunnipes,1,adult,Germany_Thuringia_Jena_Alt-Winzerla,Aug-2011,no
121014_I189_FCC173YACXX_L2_INShkeTCNRAAPEI-46.free.fas,INShkeTCNRAAPEI-46,Coleoptera,NA,Coccinellidae,Coccinellinae,Harmonia_axyridis,5,adult,Germany_Thuringia_Jena_Jena_Forest,25-Aug-2011,no
121030_I251_FCC19KWACXX_L1_INSeqtTBNRAAPEI-11.free.fas,INSeqtTBNRAAPEI-11,Odonata,Zygoptera,Lestidae,NA,Indolestes_peregrinus,2,adult,Japan_Nagano_Ueda,27-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTBPRAAPEI-79.free.fas,INSeqtTBPRAAPEI-79,Isoptera,NA,Kalotermitidae,Incisitermitinae,Incisitermes_marginipennis,1,adult,Germany_lab_cutlture_with_unknow_geographical_origin,03-Feb-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCGRAAPEI-17.free.fas,INSeqtTCGRAAPEI-17,Psocoptera,NA,Trogiidae,NA,Cerobasis_guestfalica,ca_80,adult,Japan_Hokkaido_Sapporo,Jul-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCHRAAPEI-18.free.fas,INSeqtTCHRAAPEI-18,Hymenoptera,NA,Chrysididae,Chrysidinae,Cephaloparnops_vareillesi,3,adult,Israel_1_km_NW_Shivta,26-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCJRAAPEI-20.free.fas,INSeqtTCJRAAPEI-20,Raphidioptera,NA,Raphidiidae,NA,Ornatoraphidia_flavilabris,3,larva,Austria_Lab_culture_with_samples_originating_from_Greece_Arcadia_Mainalon_Mountains_Levidi_Kardaras,20-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCMRAAPEI-30.free.fas,INSeqtTCMRAAPEI-30,Odonata,Zygoptera,Calopterygidae,NA,Psolodesmus_kuroiwae,1,adult,Japan_Okinawa_Iriomote_Otomi,17-Jun-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCPRAAPEI-34.free.fas,INSeqtTCPRAAPEI-34,Plecoptera,NA,Nemouridae,Nemourinae,Nemoura_sp,4,nymph,Japan_Kakuma_Sanada_Ueda_Nagano,16-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCSRAAPEI-37.free.fas,INSeqtTCSRAAPEI-37,Neuroptera,NA,Nemopteridae,NA,Halter_nutans,1,adult,Israel_Ne_ot_Semadar,06-Jun-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCURAAPEI-41.free.fas,INSeqtTCURAAPEI-41,Hymenoptera,NA,Ormyridae,NA,Ormyrus_sp,2,adult,Germany_North_Rhine-Westphalia_Bonn,2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTCZRAAPEI-47.free.fas,INSeqtTCZRAAPEI-47,Plecoptera,NA,Nemouridae,Nemourinae,Protonemura_ausonia,ca_7,nymph,Italy_Viterbo_Arlena_River,01-Mar-2007,no
121030_I251_FCC19KWACXX_L1_INSeqtTDCRAAPEI-62.free.fas,INSeqtTDCRAAPEI-62,Neuroptera,NA,Ascalaphidae,NA,Bubopsis_andromache,1,adult,Israel_Nitsan_Bet,02-Jun-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTDERAAPEI-75.free.fas,INSeqtTDERAAPEI-75,Hymenoptera,NA,Apidae,NA,Tetragonula_carbonaria,ca_8,adult,Australia_Queensland_Buderim_Glenmount_Road,28-Mar-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTDJRAAPEI-90.free.fas,INSeqtTDJRAAPEI-90,Plecoptera,NA,Peltoperlidae,NA,Cryptoperla_japonica,1,nymph,Japan_Nagano_Aoki_Yotsuya,16-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTDKRAAPEI-93.free.fas,INSeqtTDKRAAPEI-93,Orthoptera,Ensifera,Gryllidae,Phalangopsinae,Phaeophilacris_bredoides,1,adult,Germany_lab_culture,31-May-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTDNRAAPEI-8.free.fas,INSeqtTDNRAAPEI-8,Neuroptera,NA,Myrmeleontidae,NA,Dendroleon_pantherinus,1,adult,Austria_Lower_Austria_Krems-Land_Duernstein,06-Jul-2012,no
121030_I251_FCC19KWACXX_L1_INSeqtTDORAAPEI-9.free.fas,INSeqtTDORAAPEI-9,Neuroptera,NA,Chrysopidae,NA,Chrysoperla_carnea_s_l,5,adult,Austria_Lower_Austria_Wien-Umgebung_Klosterneuburg,29-May-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCIRAAPEI-19.free.fas,INSeqtTCIRAAPEI-19,Neuroptera,NA,Nemopteridae,NA,Nemoptera_sinuata,3,adult,Bulgaria_Blagoevgrad_Province_Kresna_Gorge_valley,07-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCKRAAPEI-21.free.fas,INSeqtTCKRAAPEI-21,Mecoptera,NA,Panorpodidae,NA,Panorpodes_paradoxus,4,adult,Japan_Nagano_Ueda_Sugadaira_Kogen_Sugadaira_Montane_Research_Center,11-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCLRAAPEI-22.free.fas,INSeqtTCLRAAPEI-22,Archaeognatha,NA,Meinertellidae,NA,Machilinus_fortunatus,4,NA,Spain_Canary_Islands_Tenerife_rock_wall_beside_street_2_km_from_Chinamada,15-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCNRAAPEI-31.free.fas,INSeqtTCNRAAPEI-31,Odonata,Anisoptera,Gomphidae,NA,Lanthus_fujiacus,1,adult,Japan_Nagano_Ueda_University_of_Tsukuba_Sugadaira_Montane_Research_Center_Sugadaira_Kogen,31-May-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCORAAPEI-33.free.fas,INSeqtTCORAAPEI-33,Odonata,Anisoptera,Chlorogomphidae,NA,Chlorogomphus_brunneus_costalis,1,adult,Japan_Kochi_Otsuki_Tachibanaura,10-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCQRAAPEI-35.free.fas,INSeqtTCQRAAPEI-35,Orthoptera,Ensifera,Gryllacrididae,NA,Nippancistroger_testaceus,3,adult_and_juveniles,Japan_Kamijiro_Matsuyama_Ehime,06-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCRRAAPEI-36.free.fas,INSeqtTCRRAAPEI-36,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_ehrenbergi,4,adult,Israel_1_km_NW_Shivta,26-May-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCVRAAPEI-43.free.fas,INSeqtTCVRAAPEI-43,Archaeognatha,NA,Meinertellidae,NA,Machilinus_rupestris,6,adult,Greece_Crete_cave_entrance_near_Analithos,28-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCWRAAPEI-44.free.fas,INSeqtTCWRAAPEI-44,Odonata,Anisoptera,Corduliidae,NA,Hemicordulia_mindana_nipponica,1,adult,Japan_Okinawa_Ishigaki,18-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCXRAAPEI-45.free.fas,INSeqtTCXRAAPEI-45,Odonata,Zygoptera,Platycnemididae,NA,Copera_annulata,2,adult,Japan_Hyogo_Nishinomiya_Nishida,03-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTCYRAAPEI-46.free.fas,INSeqtTCYRAAPEI-46,Odonata,Zygoptera,Coenagrionidae,NA,Mortonagrion_selenion,4,adult,Japan_Nagano_Togo_Nishioshidashi,11-Jun-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTDARAAPEI-56.free.fas,INSeqtTDARAAPEI-56,Orthoptera,Ensifera,Schizodactylidae,Comicinae,Comicus_calcaris,1,adult,Namibia_Gunsbeweys-Farm_1007m,22-Feb-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTDBRAAPEI-57.free.fas,INSeqtTDBRAAPEI-57,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_pseudoincisa,3,adult,Israel_Banias,31-May-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTDDRAAPEI-74.free.fas,INSeqtTDDRAAPEI-74,Neuroptera,NA,Ascalaphidae,NA,Libelloides_macaronius,1,adult,Austria_Lower_Austria_Moedling_Guntramsdorf_Eichkogel,01-Jul-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTDFRAAPEI-79.free.fas,INSeqtTDFRAAPEI-79,Archaeognatha,NA,Machilidae,NA,Petrobiellus_takunagae,3,adult,Japan_Shizuoka_Shimoda_Nabeta,22-May-2012,no
121030_I251_FCC19KWACXX_L2_INSeqtTDGRAAPEI-84.free.fas,INSeqtTDGRAAPEI-84,Odonata,Anisoptera,Gomphidae,NA,Paragomphus_genei,2,adult,Israel,24-May-2011,no
121030_I251_FCC19KWACXX_L3_INSeqtTDHRAAPEI-88.free.fas,INSeqtTDHRAAPEI-88,Odonata,Zygoptera,Coenagrionidae,NA,Paracercion_plagiosum,2,adult,Japan_Sugito_Sugito_Santama,03-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDIRAAPEI-89.free.fas,INSeqtTDIRAAPEI-89,Odonata,Anisoptera,Gomphidae,NA,Stylogomphus_suzukii,1,juvenile,Japan_Gunma_Takasaki,10-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDLRAAPEI-94.free.fas,INSeqtTDLRAAPEI-94,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_zobeida,4,adult,Israel_1_km_NW_Shivta,07-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDMRAAPEI-95.free.fas,INSeqtTDMRAAPEI-95,Lepidoptera,NA,Gracillariidae,NA,Cameraria_ohridella,60,adult,Austria_Vienna_Schafbergbad,20-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDPRAAPEI-11.free.fas,INSeqtTDPRAAPEI-11,Archaeognatha,NA,Machilidae,NA,Pedetontinus_dicrocerus,7,adult,Japan_Shizuoka_Shimoda_Shiroyama_park,22-May-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDQRAAPEI-12.free.fas,INSeqtTDQRAAPEI-12,Odonata,Anisoptera,Libellulidae,NA,Zygonyx_torridus,1,adult,Israel_Northern_District,28-May-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDRRAAPEI-13.free.fas,INSeqtTDRRAAPEI-13,Odonata,Zygoptera,Coenagrionidae,NA,Coenagrion_lanceolatum,2,adult,Japan_Niigata_Uonuma_Negoya,03-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDSRAAPEI-14.free.fas,INSeqtTDSRAAPEI-14,Odonata,Anisoptera,Macromiidae,NA,Epophthalmia_elegans,1,adult,Japan_Kochi_Shimanto,13-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDTRAAPEI-15.free.fas,INSeqtTDTRAAPEI-15,Plecoptera,NA,Perlodidae,NA,Isoperla_sp,2,nymph,Japan_Nagano_Ueda_Soehi_Irikaruizawa,16-May-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDURAAPEI-16.free.fas,INSeqtTDURAAPEI-16,Hymenoptera,NA,Argidae,NA,Aproceros_leucopoda,7,adult,Austria_Lower_Austria_Traismauer,16-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDVRAAPEI-17.free.fas,INSeqtTDVRAAPEI-17,Hymenoptera,NA,Chrysididae,Chrysidinae,Chrysis_sp,4,adult,Israel_Revivim,03-Jun-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDWRAAPEI-18.free.fas,INSeqtTDWRAAPEI-18,Raphidioptera,NA,Raphidiidae,NA,Puncha_ratzeburgi,3,adult,Austria_Lower_Austria_Moedling_Guntramsdorf_Eichkogel,20-May-2012,no
121030_I251_FCC19KWACXX_L3_INSeqtTDXRAAPEI-19.free.fas,INSeqtTDXRAAPEI-19,Neuroptera,NA,Hemerobiidae,NA,Hemerobius_marginatus,3,adult,Austria_Lower_Austria_Wien-Umgebung_Klosterneuburg,May-2012,no
